placement,phase,run,completion_us,native_reads_window,native_timeouts_window,tls_read_calls_window,done_before_release,still_alive,outcome
below,done,4,79775,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,5,81254,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,6,80735,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,7,81610,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,8,89137,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,9,79053,0,0,0,0,false,"Ok(MailboxChanged)"
below,done,10,81262,0,0,0,0,false,"Ok(MailboxChanged)"
below,partial,1,80179,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,2,82358,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,3,82185,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,4,78971,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,5,80974,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,6,80168,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,7,81345,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,8,80035,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,9,81177,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial,10,80124,0,0,0,0,false,"Err(Io(Custom { kind: ConnectionAborted, error: \"terminal watch cancellation\" }))"
below,partial_resume,1,365730,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,2,368790,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,3,363108,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,4,374748,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,5,358836,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,6,358288,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,7,366548,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,8,361812,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,9,357925,3,3,0,0,true,"Ok(MailboxChanged)"
below,partial_resume,10,356643,3,3,0,0,true,"Ok(MailboxChanged)"
below,quiet,1,10008635,90,90,0,0,true,"Ok(MailboxChanged)"
