fr,en
rattraper apercus,backfill_previews
sonder brouillons,probe_drafts
sonde brouillons,drafts_probe
touche,key
delai,delay
retard,lag
lancer,launch
demarrer,start
debut,start
boite nav,nav_mailbox
injecter arrivee,inject_arrival
case de,checkbox_of
ligne atelier,workshop_row
rang portier,screener_rank
rang reception,inbox_rank
themes css,css_themes
themes doc,doc_themes
themes rust,rust_themes
teintes rust,rust_hues
teintes css,css_hues
icones rust,rust_icons
icones js,js_icons
jetons doc,doc_tokens
noms doc,doc_names
noms catalogue,catalog_names
liste rust,rust_list
liste js,js_list
lire fichier,read_file
lire session,read_session
lire themes,read_themes
lire reperes,read_markers
dans la glu,in_the_glue
mur bloque,blocked_wall
ctx moyen,avg_ctx
sous agents,subagents
compte echos,count_echos
echo envoi,send_echo
registre initialisees,initialized_registry
etat ui,ui_state
reseau etat,network_state
nettoyage etat,cleanup_state
noms adresses,address_names
router expediteur de,route_sender_from
router expediteur,route_sender
retirer routage,remove_routing
chemin enregistrement suggere,suggested_save_path
pile mis de cote,set_aside_pile
kiosque marquer lu,feed_mark_read
kiosque non ouverts,feed_unopened
marquer kiosque lu,mark_feed_read
kiosque lu,feed_read
nettoyage demarrer,cleanup_start
nettoyage terminer,cleanup_finish
mode organise,organized_mode
hors pile,off_pile
du fil,of_thread
messages du fil,messages_of_thread
fil route,thread_route
flux borne,bounded_stream
borne octets,byte_limit
garde instance,instance_guard
vol passe,pass_flight
vol garde,flight_guard
fin de cycle,cycle_end
cycle complet,full_cycle
passe legere,light_pass
transport decor,fixture_transport
cible geste,gesture_target
geste groupe,group_gesture
groupe nettoyage,cleanup_group
groupe registre,paper_trail_group
session nettoyage,cleanup_session
erreur ical,ical_error
invitation stockee,stored_invitation
demande reponse,reply_request
sans evenement,no_event
sans uid,no_uid
sans reponse,no_reply
methode inconnue,unknown_method
champs indexes,indexed_fields
faux imap,fake_imap
faux serveur,fake_server
solder repere,settle_marker
reposer sessions,reset_sessions
substituer transfert,substitute_forward
garnir message,populate_message
teinte sure,safe_hue
texte vers,text_into
commence par,starts_with
echange coupe,cut_exchange
geste sous,gesture_under
par role,by_role
seul b,only_b
plus haut fait,highest_done
retraits du non,no_removals
attente defaite,pending_undone
dernier blanc,last_blank
blanc en attente,pending_blank
deja faite,already_done
ecrire dans,write_into
apres initiale,after_initial
avec inconnue,with_unknown
uidnext vu,uidnext_seen
modseq vu,modseq_seen
jamais vu,never_seen
present en destination,present_at_destination
nettoyage critere,cleanup_criterion
boites du perimetre,mailboxes_in_scope
regles actives,active_rules
regles routage,routing_rules
destinations routage,routing_destinations
destinations echo,echo_destinations
perimetres nettoyage,cleanup_scopes
plages nettoyage,cleanup_ranges
prefs par compte,prefs_per_account
page unifiee,unified_page
page un compte,single_account_page
sous lot,sub_batch
lot changements,changes_batch
lot corps octets,body_batch_bytes
seuil envoi,send_threshold
seuil quarantaine,quarantine_threshold
marqueur transfert,forward_marker
corps absent,body_absent
ancien identifiant,old_identifier
identifiant,app_id
nom verrou,lock_name
index expediteurs,senders_index
epoque portier,screener_epoch
portier attente,screener_waiting
portier defauts,screener_defaults
defaut portier oui valide,valid_screener_default_yes
defaut portier non valide,valid_screener_default_no
exclusion organisee,organized_exclusion
reception organisee,organized_inbox
organise hors sql,organized_off_sql
adresse images,images_address
compte unifie,unified_account
compte boite,mailbox_account
comptes avec travail,accounts_with_work
filtre compte,account_filter
filtre non lues,unread_filter
id du compte,account_id_of
verrou compte,account_lock
verrous releve,poll_locks
relever inbox,poll_inbox
veille session,watch_session
demenager dossier,relocate_folder
dossier temporaire,temp_folder
dossier de la base,db_folder
cle fichier,file_key
lire ligne,read_line
lire routage,read_routing
valider routage,validate_routing
valider horizon,validate_horizon
ecrire horizon premier ajout,write_horizon_first_add
extraire apercu,extract_preview
rattraper correspondants,backfill_contacts
balayer echos,sweep_echos
echos en attente,pending_echos
actions en attente,pending_actions
deja en file,already_queued
deja stmt,already_stmt
queue tronquee,truncated_queue
reconstruire index si ancien,rebuild_index_if_old
retrograde ancien schema,downgrade_old_schema
colonnes threads,thread_columns
noms colonnes,column_names
trop gros,too_big
hors portee,out_of_scope
pour test,for_test
tests pieces,attachment_tests
brouillon reponse,reply_draft
envelope simple,simple_envelope
corps alternatif,alternative_body
corps synthetique,synthetic_body
texte en html,text_as_html
entete transfert,forward_header
source du transfert,forward_source
sans source,no_source
sans adresse,no_address
sans id,no_id
sans date,no_date
sans validity,no_validity
sans message id,no_message_id
premier identifiant,first_identifier
dernier objet,last_subject
participation du repondant,attendee_participation
repondant est organisateur,attendee_is_organizer
est organisateur,is_organizer
est partie calendrier,is_calendar_part
est invisible,is_invisible
peut repondre,can_reply
reponse a,reply_to
reponse itip,itip_reply
invitation projet,draft_invitation
invitation de,invitation_from
routage de,routing_of
nettoyage compter groupes,cleanup_count_groups
registre groupe page,paper_trail_group_page
repondre invitation,reply_invitation
sync apres geste,sync_after_gesture
toggle mis de cote,toggle_set_aside
agir groupe,act_on_group
pin state du fil,thread_pin_state
mis de cote du fil,thread_set_aside
etat mis de cote,set_aside_state
vers groupe,to_group
par cle,by_key
poser boite,set_mailbox
poser phase,set_phase
tri date,sort_by_date
liste ids,id_list
lignes du message,message_lines
messages locaux,local_messages
mailboxes avec actions,mailboxes_with_actions
dossiers inclus,included_folders
canoniques hors archives,canonical_except_archive
indesirables non lus,junk_unread
indesirables total,junk_total
reception non lues,inbox_unread
reception total,inbox_total
arrivees depuis,arrivals_since
depuis jours,since_days
duree inbox,inbox_duration
duree inventaire,inventory_duration
debut atelier,workshop_start
fin atelier,workshop_end
fin du bloc,block_end
un bloc,a_block
banc analyse de 50 corps,bench_parse_50_bodies
banc completer 50k,bench_complete_50k
banc rattrapage 200k,bench_backfill_200k
app bulles,app_bubbles
avis maj,update_notice
avis crash,crash_notice
avis envoi,send_notice
avis telemetrie,telemetry_notice
avis connexion,connection_notice
avis programme,scheduled_notice
avis refus,refusal_notice
verifier maj,check_update
installer maj,install_update
proposer maj,offer_update
maj actifs,active_updates
maj echecs,failed_updates
accueil a jouer,onboarding_to_play
accueil fait,onboarding_done
accueil commence,onboarding_started
marquer accueil fait,mark_onboarding_done
marquer accueil commence,mark_onboarding_started
cle auto,auto_key
cle commence,started_key
cle fait,done_key
appliquer langue,apply_language
langue actuelle,current_language
restaurer langue,restore_language
poser langue detectee,set_detected_language
changer langue,change_language
appliquer theme,apply_theme
theme actif,active_theme
theme actuel,current_theme
theme affiche,displayed_theme
restaurer theme,restore_theme
choisir theme,choose_theme
appliquer volets,apply_panes
restaurer volets,restore_panes
changer volets,change_panes
volets actuels,current_panes
volets avant,panes_before
survol volets,panes_hover
appliquer espacement,apply_spacing
restaurer espacement,restore_spacing
changer espacement,change_spacing
espacement actuel,current_spacing
appliquer largeur,apply_width
regler largeur,set_width
largeur actuelle,current_width
persister largeurs,persist_widths
restaurer largeurs,restore_widths
defaut largeur,default_width
plafond poignee,handle_cap
restaurer mode organise,restore_organized_mode
basculer mode organise,toggle_organized_mode
basculer organise,toggle_organized
basculer bulles,toggle_bubbles
basculer cote,toggle_aside
basculer groupe,toggle_group
basculer message,toggle_message
charger nav,load_nav
charger nav maintenant,load_nav_now
charger plus,load_more
charger message,load_message
charger groupes,load_groups
charger horizons,load_horizons
charger noms,load_names
charger reperes,load_markers
charger signatures,load_signatures
chargement plus,loading_more
charge corps,body_loaded
recharger vues,reload_views
fermer fil,close_thread
ouvrir fil,open_thread
agrandir fil,enlarge_thread
reduire fil,shrink_thread
epingler fil,pin_thread
brouillon du fil,thread_draft
brouillons par fil,drafts_per_thread
reserve fil,thread_reserve
fermer cartes,close_cards
fermer suggestions,close_suggestions
ouvrir menu,open_menu
ouvrir gestes,open_gestures
ouvrir mini,open_mini
ouvrir conversation,open_conversation
ouvrir brouillon,open_draft
ouvrir differe,open_deferred
ouvrir horizon,open_horizon
ouvrir modifier,open_edit
ouvrir nom,open_name
ouvrir repere,open_marker
ajout ouvert,add_open
ajout factice,fake_add
generique ouvert,generic_open
groupes ouverts,open_groups
horizon ouvert,horizon_open
repere ouvert,marker_open
tiroir ouvert,drawer_open
est ouverte,is_open
est repliee,is_collapsed
est echo,is_echo
est cochee,is_checked
est choisie,is_chosen
est deconnecte,is_disconnected
est google,is_google
est microsoft,is_microsoft
attente portier,screener_pending
envoi en cours,send_in_progress
geste en cours,gesture_in_progress
corps en cours,body_in_progress
retrait en cours,removal_in_progress
reponses en vol,replies_in_flight
total en vol,total_in_flight
couture en vol,seam_in_flight
lancer couture,start_seam
lancer epingles,start_pins
lancer total,start_total
gestes organise,organized_gestures
gestes invitation,invitation_gestures
gestes barre,bar_gestures
gestes groupe,group_gestures
geste sur echo,gesture_on_echo
passe apres geste,pass_after_gesture
apres envoi,after_send
apres courrier envoye,after_mail_sent
courrier vu,mail_seen
temoin lu,read_witness
marquer lue,mark_read
marquer vue,mark_seen
marquer legitime,mark_legitimate
marquer demarrage,mark_startup
demande suppr,delete_request
demander retrait,request_removal
peut supprimer,can_delete
peut continuer,can_continue
plus possible,more_possible
total liste,list_total
total precis,exact_total
total resultats,results_total
total pieces,attachments_total
total servi a,total_served_at
poids total,total_weight
nb pieces,attachment_count
nb pieces de,attachment_count_of
nb messages,message_count
nb jetons,token_count
nb themes,theme_count
n lignes,line_count
n total,total_count
n traces,trace_count
n dossiers,folder_count
premiere page ms,first_page_ms
derniere ouverture ms,last_open_ms
dernier mouvement,last_move
dernier tic,last_tick
minuterie suggere,suggest_timer
minuterie recherche,search_timer
toast minuterie,toast_timer
choix suggere,suggested_choice
champ suggere,suggested_field
suggestion adresse,address_suggestion
sur selection,on_selection
sur defilement,on_scroll
sur frappe adresse,on_address_keystroke
sur frappe corps,on_body_keystroke
sur load,on_load
sur ajout,on_add
sur onglet,on_tab
sur touche,on_key
clic rangee,row_click
scene sans lecture,scene_without_reading
section collee,stuck_section
hors fenetre,off_window
mesurer fenetre,measure_window
mesure demandee,measure_requested
haut epingles,pins_top
haut epingles mesure,pins_top_measured
epingles repondues,answered_pins
rangs puces,chip_ranks
autres puces,other_chips
chips par page,chips_per_page
chips avant,chips_before
entetes avant,headers_before
avant index,index_before
avant sujet,subject_before
gabarit seul,template_alone
corps auto,auto_body
corps modifie,body_modified
corps version,body_version
corps vide,body_empty
corps html initial,initial_body_html
corps texte initial,initial_body_text
texte initial,initial_text
poser corps,set_body
selection corps,body_selection
programmer sauvegarde,schedule_save
programmer envoi,schedule_send
sauver maintenant,save_now
sauver seul,save_alone
enregistrer brouillon,save_draft
enregistrer signature,save_signature
enregistrer nom,save_name
supprimer brouillon,delete_draft
reprendre brouillon,resume_draft
nom brouillon,draft_name
avait brouillon,had_draft
brouillon epoch,draft_epoch
brouillon de,draft_of
brouillon id,draft_id
resoudre reprise,resolve_resume
montrer cc,show_cc
montrer cci,show_bcc
montrer couleurs,show_colors
montrer differe,show_deferred
date differe,deferred_date
dans une heure,in_one_hour
prochain programme,next_scheduled
envois en attente,pending_sends
envoyer avec,send_with
vers envoi,to_send
compte envoi,send_account
compte emetteur,sending_account
compte de,account_of
compte ajoute,account_added
compte retire,account_removed
melange comptes,mixed_accounts
vue melange,mixed_view
changer expediteur,change_sender
deplacer expediteur,move_sender
expediteurs images,image_senders
retirer expediteur images,remove_image_sender
accorder images,grant_images
images bloquees,blocked_images
toujours afficher images,always_show_images
afficher images,show_images
sujet re,subject_re
sujet tr,subject_fwd
quand inv,when_inv
quand invitation,when_invitation
quand long,when_long
repondant inv,attendee_inv
lieu org,org_location
lieu organisateur,organizer_location
ligne repondant,attendee_line
statut invitation,invitation_status
kicker invitation,invitation_kicker
tuile invitation,invitation_tile
puce invitation,invitation_chip
icones reponse,reply_icons
reponses invitation,invitation_replies
repondre tous,reply_all
signaler spam,report_spam
retour boite,back_to_mailbox
boite de,mailbox_of
bloc boite,mailbox_block
cle libelle boite,mailbox_label_key
libelle routage,routing_label
modifier routage,edit_routing
routages liste,routings_list
routages visibles,visible_routings
filtre routages,routings_filter
router adresse,route_address
choix a renommer,choice_to_rename
nom occupe,name_taken
nom erreur,name_error
nom adr,name_addr
nom adr porte,name_addr_carried
patcher nom,patch_name
patcher repere,patch_marker
choisir repere,choose_marker
retirer repere,remove_marker
repere choix,marker_choice
repere erreur,marker_error
repere icones,marker_icons
repere teintes,marker_hues
repere familles,marker_families
fonds repere,marker_bgs
au repere,at_marker
horizon erreur,horizon_error
changer horizon,change_horizon
reconnexion erreur,reconnection_error
retrait erreur,removal_error
synchro echec,sync_failure
synchro partiel,sync_partial
sonder synchro,probe_sync
sonder etat,probe_state
sonde gel,freeze_probe
rattrapage pct,backfill_pct
rapatrier tout,retrieve_all
generation vue,view_generation
index visible,visible_index
index pour,index_for
page utile,useful_page
servir page,serve_page
aller et servir,go_and_serve
avancer apres,advance_after
armer depart,arm_departure
vider selection,clear_selection
annuler selection,cancel_selection
selection en cours,selection_in_progress
groupes tries,sorted_groups
tri historique,sort_history
tri lus,sort_read
tri non lus,sort_unread
tri ancien,sort_oldest
tri recent,sort_newest
comparateur tri,sort_comparator
lignes ordonnees,ordered_rows
meme jour,same_day
date absolue,absolute_date
date longue,long_date
ecart jours,day_gap
clavier adresse,address_keyboard
commande signature,signature_command
commande select,select_command
champs signature,signature_fields
sombre signale,dark_flagged
os sombre,os_dark
fiche active,active_card
h cadre,frame_height
pad rangee,row_pad
pad gauche,left_pad
l liste,list_width
i liste,list_index
i sonde,probe_index
brancher liens,wire_links
retirer message,remove_message
kiosque total,feed_total
portier total,screener_total
registre total,paper_trail_total
registre groupe,paper_trail_group
changer portier,change_screener
renvoyer au portier,send_back_to_screener
libelle ecarte,screened_out_label
adresse retours,feedback_address
panne factice,fake_failure
purger oauth,purge_oauth
purger cache http,purge_http_cache
purger locales,purge_locals
cles locales,local_keys
compare listes,compare_lists
sujet au sommet,subject_at_top
premiere lue,first_read
page0 arrivee,page0_arrival
deja construits,already_built
compte depart,start_account
ouvrir atelier,open_workshop
encre claire,light_ink
encre sombre,dark_ink
fond de,bg_of
fond pastille,badge_bg
tenir barre,hold_bar
barre sticky,sticky_bar
reponse sticky,sticky_reply
reponse ombre,shadow_reply
port tenu,held_port
bloc envoi,send_block
heure envoi,send_time
piece conv,conv_attachment
a cocher,to_check
teinte sel,sel_hue
teintes trace,trace_hues
reserves catalogue,catalog_reserves
roles pastilles,badge_roles
nombre attendu,expected_count
temoin theme,theme_witness
seuil ms,threshold_ms
sans les appels,without_calls
vide bas,empty_bottom
depuis defaut,since_default
par date,by_date
largeur avant,width_before
sous titre,subtitle
la,the
le,the
les,the
confirmer,confirm
de,from
a,to
ecrire,compose
format puces,format-bullets
bouton cc,cc-button
bouton cci,bcc-button
suppr annuler,delete-cancel
suppr carte,delete-card
suppr confirmer,delete-confirm
mini non,mini-no
mini oui,mini-yes
tout lu,all-read
