kind,old,new
testid,expediteur-images,sender-images
testid,fente-avis,slot-notice
testid,fil-puces,thread-chips
testid,fil-sujet,thread-subject
testid,garde-images,images-guard
testid,gestes,gestures
testid,gestes-cote,gestures-aside
testid,gestes-ecarter,gestures-screen-out
testid,guichet-horizon,desk-horizon
testid,guichet-retour,desk-back
testid,horizon-erreur,horizon-error
testid,inv-accepter,inv-accept
testid,inv-provisoire,inv-tentative
testid,inv-refuser,inv-refuse
testid,invitation-repondant,invitation-attendee
testid,invitation-statut,invitation-status
testid,invitation-titre,invitation-title
testid,kiosque,feed
testid,kiosque-carte,feed-card
testid,kiosque-corps-dormant,feed-dormant-body
testid,kiosque-cote,feed-aside
testid,kiosque-ecarter,feed-screen-out
testid,kiosque-garde-images,feed-images-guard
testid,kiosque-gestes,feed-gestures
testid,kiosque-groupe,feed-group
testid,kiosque-groupe-nom,feed-group-name
testid,kiosque-pli,feed-fold
testid,kiosque-section-lus,feed-section-read
testid,kiosque-section-nonlus,feed-section-unread
testid,kiosque-titre,feed-title
testid,kiosque-tout-lu,feed-all-read
testid,kiosque-vers,feed-to
testid,kiosque-vide,feed-empty
testid,lecture-fichiers,reading-fichiers
testid,ligne,line
testid,ligne-a,row-to
testid,ligne-attente,line-pending
testid,ligne-boite,line-mailbox
testid,ligne-brouillon,line-draft
testid,ligne-case,row-checkbox
testid,ligne-cc,row-cc
testid,ligne-gestes,line-gestures
testid,liste,list
testid,liste-accepter,list-accept
testid,liste-provisoire,list-tentative
testid,liste-refuser,list-refuse
testid,liste-titre,list-title
testid,mention-brouillon,mention-draft
testid,mettre-de-cote,put-aside
testid,migration-etat,migration-state
testid,migration-modale,migration-modal
testid,mode-organise,organized-mode
testid,nav-boite,nav-mailbox
testid,nav-dossier,nav-folder
testid,nav-repere,nav-marker
testid,nav-separateur,nav-separator
testid,nettoyage,cleanup
testid,nettoyage-demarrer,cleanup-start
testid,nettoyage-groupe,cleanup-group
testid,nettoyage-messages,cleanup-messages
testid,nettoyage-mini-non,cleanup-mini-no
testid,nettoyage-mini-oui,cleanup-mini-yes
testid,nettoyage-non,cleanup-no
testid,nettoyage-oui,cleanup-yes
testid,nettoyage-ouvrir,cleanup-open
testid,nettoyage-perimetre,cleanup-scope
testid,nettoyage-plage,cleanup-range
testid,nettoyage-progression,cleanup-progress
testid,nettoyage-regle-archive,cleanup-rule-archive
testid,nettoyage-regle-corbeille,cleanup-rule-trash
testid,nettoyage-regle-spam,cleanup-rule-spam
testid,nettoyage-terminer,cleanup-finish
testid,nettoyage-titre,cleanup-title
testid,nettoyage-vers-kiosque,cleanup-to-feed
testid,nettoyage-vers-reception,cleanup-to-inbox
testid,nettoyage-vers-registre,cleanup-to-paper-trail
testid,nettoyage-vide,cleanup-empty
testid,nom-annuler,name-cancel
testid,nom-champ,name-field
testid,nom-enregistrer,name-save
testid,nom-erreur,name-error
testid,notif-bulles,notif-bubbles
testid,onboarding-adresse,onboarding-address
testid,onboarding-continuer,onboarding-continue
testid,onboarding-erreur,onboarding-error
testid,onglet,tab
testid,onglets,tabs
testid,pas-spam,not-spam
testid,piece-compo,attachment-compose
testid,piece-echec,attachment-failure
testid,piece-jointe,attachment-jointe
testid,piece-rapatriement,attachment-retrieving
testid,piece-reessayer,attachment-retry
testid,piece-renoncer,attachment-renoncer
testid,piece-retrait,attachment-indent
testid,pile-bouton,pile-button
testid,pile-carte,pile-card
testid,pile-eventail,pile-fan
testid,pile-tableau,pile-board
testid,pile-tableau-carte,pile-board-card
testid,pile-tableau-retour,pile-board-back
testid,pile-terminer,pile-finish
testid,pile-voir-tableau,pile-see-board
testid,portier,screener
testid,portier-decision,screener-decision
testid,portier-decisions,screener-decisions
testid,portier-decisions-vide,screener-decisions-empty
testid,portier-defaut-non,screener-default-no
testid,portier-defaut-oui,screener-default-yes
testid,portier-historique,screener-history
testid,portier-mini-non,screener-mini-no
testid,portier-mini-oui,screener-mini-yes
testid,portier-non,screener-no
testid,portier-oui,screener-yes
testid,portier-rang,screener-rank
testid,portier-recherche,screener-search
testid,portier-regle-archive,screener-rule-archive
testid,portier-regle-corbeille,screener-rule-trash
testid,portier-regle-spam,screener-rule-spam
testid,portier-reintegrer,screener-reinstate
testid,portier-titre,screener-title
testid,portier-vers-kiosque,screener-to-feed
testid,portier-vers-reception,screener-to-inbox
testid,portier-vers-registre,screener-to-paper-trail
testid,portier-vide,screener-empty
testid,progression,progress
testid,puce-invitation,invitation-chip
testid,puces-invitation,chips-invitation
testid,puces-ligne,chips-line
testid,recap-comptes,recap-accounts
testid,recap-volets,recap-panes
testid,reception-titre,inbox-title
testid,recherche,search
testid,reconnexion-erreur,reconnection-error
testid,registre,paper-trail
testid,registre-ecarter,paper-trail-screen-out
testid,registre-gestes,paper-trail-gestures
testid,registre-groupe,paper-trail-group
testid,registre-message,paper-trail-message
testid,registre-messages,paper-trail-messages
testid,registre-plus,paper-trail-more
testid,registre-titre,paper-trail-title
testid,registre-vers,paper-trail-to
testid,registre-vide,paper-trail-empty
testid,reglages,settings
testid,reglages-affichage,settings-display
testid,reglages-ajouter,settings-add
testid,reglages-apropos,settings-about
testid,reglages-comptes,settings-accounts
testid,reglages-groupe,settings-group
testid,reglages-guichet,settings-desk
testid,reglages-horizon,settings-horizon
testid,reglages-modal,settings-modal
testid,reglages-nom,settings-name
testid,reglages-notifications,settings-notifications
testid,reglages-portier,settings-screener
testid,reglages-raccourcis,settings-shortcuts
testid,reglages-repere,settings-marker
testid,reglages-retrait,settings-indent
testid,reglages-signature,settings-signature
testid,reglages-termine,settings-done
testid,reglages-volet,settings-pane
testid,repere-erreur,marker-error
testid,repere-icone,marker-icon
testid,repere-retirer,marker-remove
testid,repere-teinte,marker-hue
testid,repondre,reply
testid,repondre-tous,reply-all
testid,retirer-expediteur-images,remove-image-sender
testid,retour-boite,back-to-mailbox
testid,retour-carte,back-card
testid,retour-envoyer,back-send
testid,retour-texte,back-text
testid,retrait-annuler,indent-cancel
testid,retrait-confirmer,indent-confirm
testid,retrait-erreur,removal-error
testid,section-collee,stuck-section
testid,signaler-spam,report-spam
testid,signature-compte,signature-account
testid,signature-effacer,signature-clear
testid,signature-enregistrer,signature-save
testid,signature-erreur,signature-error
testid,signature-etat,signature-state
testid,signature-gras,signature-bold
testid,signature-italique,signature-italic
testid,signature-souligne,signature-underline
testid,signature-tous,signature-all
testid,statut,status
testid,suggestion-adresse,address-suggestion
testid,supprimer,delete
testid,tiroir,drawer
testid,tiroir-fermer,drawer-close
testid,tiroir-scrim,drawer-scrim
testid,toujours-afficher-images,always-show-images
testid,tout-deplier,all-expand
testid,tout-replier,all-collapse
testid,transferer,forward
testid,tri,sort
testid,tri-section,sort-section
testid,vider-recherche,clear-search
testid,voir-conversation,see-conversation
testid,volet-lecture,reading-pane
class,accueil,onboarding
class,actif,active
class,adr,addr
class,adresse,address
class,adresse-regle,address-rule
class,adresse-signature,address-signature
class,adresse-sous,address-under
class,ajouter,add
class,alerte,alert
class,anneau,ring
class,annuler,cancel
class,apercu,preview
class,apropos-bande,about-bande
class,attente,pending
class,attente-portier,screener-pending
class,avertissement,warning
class,bandeau,banner
class,bandeau-selection,banner-selection
class,barre,bar
class,barre-signature,bar-signature
class,beta-texte,beta-text
class,bloc-signature,block-signature
class,boite,mailbox
class,boites,mailboxes
class,bouton-format,button-format
class,boutons-retrait,buttons-indent
class,boutons-signature,buttons-signature
class,boutons-volets,buttons-panes
class,btn-barre,btn-bar
class,btn-portier,btn-screener
class,btn-repere,btn-marker
class,btn-statut,btn-status
class,btn-tiroir,btn-drawer
class,cadre,frame
class,cadre-entete,header-frame
class,cadre-portier,frame-screener
class,cadre-volets,frame-panes
class,capture-grande,capture-large
class,carte,card
class,carte-e,card-e
class,carte-nom,card-name
class,carte-retrait,card-indent
class,carte-t,card-t
class,cartes,cards
class,case,checkbox
class,centre,center
class,champ-nom,field-name
class,champs,fields
class,charger-plus,load-more
class,choix,choice
class,choix-plage,choice-range
class,choix-repere,choice-marker
class,choix-volet,choice-pane
class,cle,key
class,coche,check
class,colonne,column
class,colonnes,columns
class,colonnes--1,columns-1
class,colonnes--2,columns-2
class,colonnes--organise,columns-organized
class,compte,account
class,contenu,content
class,corps,body
class,corps-editeur,body-editeur
class,de,from
class,decisions-vide,decisions-empty
class,deconnecte,disconnected
class,demarrer,start
class,deplacer,move
class,desc-groupe,desc-group
class,differe,deferred
class,differe-actions,deferred-actions
class,differe-label,deferred-label
class,differe-note,deferred-note
class,disque,disk
class,ecran,screen
class,entete,header
class,entete-section,header-section
class,entete-vue,header-view
class,epingles,pins
class,erreur,error
class,erreur-reconnexion,error-reconnection
class,erreur-repere,error-marker
class,erreur-retrait,error-indent
class,espace,space
class,espace-entete,header-space
class,essor-titre,essor-title
class,etat-signature,state-signature
class,etiquette,label
class,eventail,fan
class,exp,sender
class,f-corps,f-body
class,f-lecture,f-reading
class,f-liste,f-list
class,f-tete,f-head
class,fenetre,window
class,fenetre-recherche,window-search
class,fente,slot
class,fermer,close
class,fermer-tiroir,close-drawer
class,fil,thread
class,filet,net
class,garde-images,images-guard
class,garde-texte,guard-text
class,geste,gesture
class,gestes,gestures
class,groupe-couleur,group-color
class,groupe-differe,group-deferred
class,guichet,desk
class,heure,time
class,historique-vide,history-empty
class,ic-non,ic-no
class,ic-oui,ic-yes
class,icone,icon
class,icone-tuile,icon-tuile
class,inv-annulee,inv-cancelled
class,inv-corps,inv-body
class,inv-jour,inv-day
class,inv-lieu,inv-location
class,inv-mois,inv-month
class,inv-quand,inv-when
class,inv-repondant,inv-attendee
class,inv-statut,inv-status
class,inv-tete,inv-head
class,inv-titre,inv-title
class,langue,language
class,libelle,label
class,libelles,labels
class,ligne,line
class,ligne-apropos,line-about
class,ligne-recap,line-recap
class,ligne-section,line-section
class,marque,brand
class,marque--libre,brand-libre
class,marque-bande,brand-bande
class,marque-epingle,brand-pin
class,marque-tuile,brand-tuile
class,milieu,middle
class,nom,name
class,nom-compte,name-account
class,nombre,count
class,nonlu,unread
class,nu,bare
class,objet,subject
class,objet-fil,thread-subject
class,objet-m,subject-m
class,onglet,tab
class,onglets,tabs
class,organise,organized
class,origine,origin
class,pastille,badge
class,pastille-plage,badge-range
class,pastille-teinte,badge-hue
class,pastilles,badges
class,piece,attachment
class,pile-bouton,pile-button
class,pile-libelle,pile-label
class,pile-zone,pile-area
class,poids,weight
class,poignee,handle
class,point-alerte,alert-dot
class,progression,progress
class,puce,chip
class,puces,chips
class,quand,when
class,raccourci,shortcut
class,rang,rank
class,rang-groupe,rank-group
class,rang-historique,rank-history
class,rang-message,rank-message
class,rang-objet,rank-subject
class,rang-portier,screener-rank
class,rangee,row
class,rangees,rows
class,recap-titre,recap-title
class,recap-valeur,recap-value
class,recherche,search
class,recherche-decisions,search-decisions
class,reconnecter,reconnect
class,reessayer,retry
class,refus,refusal
class,reglage,setting
class,regle-images,rule-images
class,regle-libelle,rule-label
class,repere,marker
class,repere-nu,bare-marker
class,retirer,remove
class,retour,back
class,retour-t,back-t
class,retrait,indent
class,sans,without
class,scrim-tiroir,scrim-drawer
class,section-collee,stuck-section
class,selection-en-cours,selection-in-progress
class,sondes,probes
class,sondes-cage,probes-cage
class,sous,under
class,sous-nom,under-name
class,sous-titre-vue,subtitle-view
class,statut,status
class,supprimer,delete
class,tableau,board
class,tableau-int,board-int
class,teinte,hue
class,temoin-lu,read-witness
class,terminer,finish
class,tete,head
class,tete-ajout,head-add
class,tete-e,head-e
class,tete-message,message-head
class,tete-organisee,head-organized
class,tete-t,head-t
class,tete-tiroir,head-drawer
class,texte,text
class,tiroir,drawer
class,titre,title
class,titre-ajout,title-add
class,titre-fichiers,title-fichiers
class,titre-menu,title-menu
class,titre-repere,title-marker
class,titre-tuile,title-tuile
class,tout-lu,all-read
class,tri,sort
class,valeur,value
class,vide,empty
class,vide-recherche,empty-search
class,vider,clear
class,voir-plus,see-more
class,volet,pane
class,zone-corps,body-area
seam,__e2eAccueil,__e2eOnboarding
seam,__e2eAjout,__e2eAdd
seam,__e2eJournal,__e2eLog
seam,__e2eLiens,__e2eLinks
seam,__e2ePanne,__e2eFailure
seam,__e2ePieces,__e2eAttachments
seam,__e2eRetenue,__e2eHold
